time,base,trend,uncert_center_ana,uncert_lower_ana,uncert_upper_ana,central_det,bull,bear
2025-03-11,119.58973619033385,108.50642841980454,119.58973620033387,117.97039233659423,121.2313083070851,116.81890924820152,119.58973619033385,108.50642841980454
2025-03-12,119.34049825971891,108.58731058766975,119.34049826971888,117.06159902341642,121.66376203707797,116.65220134220661,119.34049825971891,108.58731058766975
2025-03-13,118.6940182835039,108.66819275553499,118.69401829350383,115.9240540373626,121.53016986550472,116.18756190201167,118.6940182835039,108.66819275553499
2025-03-14,118.26978055496663,108.7490749234002,118.26978056496658,115.08852465297191,121.53897217001246,115.88960414757503,118.26978055496663,108.7490749234002
2025-03-17,117.94850791698238,108.82995709126541,117.94850792698239,114.40709334363154,121.59954523462972,115.66887021105313,117.94850791698238,108.82995709126541
2025-03-18,117.46418893316911,108.91083925913065,117.46418894316915,113.60628004420958,121.45310698235299,115.3258515151595,117.46418893316911,108.91083925913065
2025-03-19,116.81718849323751,108.99172142699587,116.8171885032375,112.6786312238987,121.10775025909797,114.8608217271771,116.81718849323751,108.99172142699587
2025-03-20,116.41421909508601,109.07260359486108,116.41421910508606,112.01063002926541,120.99093100633515,114.57881522052978,116.41421909508601,109.07260359486108
2025-03-21,115.74411302703311,109.15348576272632,115.74411303703309,111.10567925978941,120.57619189209109,114.0964562114564,115.74411302703311,109.15348576272632
2025-03-24,114.74201793034779,109.23436793059153,114.74201794034778,109.90033185970016,119.7970056890328,113.36510543090871,114.74201793034779,109.23436793059153
2025-03-25,113.76724810088581,109.31525009845674,113.76724811088579,108.73763976943107,119.02949861858644,112.65424860077854,113.76724810088581,109.31525009845674
2025-03-26,113.17208308347706,109.39613226632198,113.17208309347707,107.95152093153574,118.64511292842117,112.2280953796883,113.17208308347706,109.39613226632198
2025-03-27,112.37042876855817,109.4770144341872,112.37042877855818,106.98034317627116,118.03208784880566,111.64707518546543,112.37042876855817,109.4770144341872
2025-03-28,111.80681587494118,109.55789660205241,111.8068158849412,106.24643329811677,117.658199812254,111.24458605721898,111.80681587494118,109.55789660205241
2025-03-31,111.22720585230327,109.63877876991765,111.22720586230322,105.50657908548747,117.25800827938029,110.83009908220684,111.22720585230327,109.63877876991765
2025-04-01,110.54239737726542,109.71966093778286,110.5423973872654,104.67557195651425,116.73804491080823,110.33671326789478,110.54239737726542,109.71966093778286
2025-04-02,109.85994737147581,109.80054310564807,109.85994738147579,103.85489142077061,116.2122252842376,109.84509630551888,109.85994737147581,109.80054310564807
2025-04-03,109.12181925589584,109.88142527351332,109.12181926589582,102.98913581263758,115.61968498853722,109.3117207608002,109.88142527351332,109.12181925589584
2025-04-04,108.25811534605522,109.96230744137853,108.25811535605521,102.01215608036037,114.88649971492255,108.68416337038603,109.96230744137853,108.25811534605522
2025-04-07,107.53991571132146,110.04318960924374,107.53991572132142,101.1790722765934,114.30064748700315,108.16573418630203,110.04318960924374,107.53991571132146
2025-04-08,106.78619484315922,110.12407177710898,106.78619485315924,100.31877301732284,113.67056302859484,107.62066407714666,110.12407177710898,106.78619484315922
2025-04-09,106.0065768290627,110.20495394497419,106.00657683906266,99.44006563457067,113.00670671751223,107.05617110854057,110.20495394497419,106.0065768290627
2025-04-10,105.17690729753251,110.2858361128394,105.17690730753247,98.52009765099208,112.28350452884354,106.45413950185923,110.2858361128394,105.17690729753251
2025-04-11,104.41434502287026,110.36671828070465,104.41434503287023,97.66835626659211,111.6262816882531,105.90243833782885,110.36671828070465,104.41434502287026
2025-04-14,103.67074711266288,110.44760044856986,103.67074712266289,96.83933706701336,110.98407046646447,105.36496044713962,110.44760044856986,103.67074711266288
2025-04-15,102.93705501278953,110.52848261643507,102.93705502278954,96.02427468779258,110.3474858957915,104.83491191420092,110.52848261643507,102.93705501278953
2025-04-16,101.92509761128014,110.60936478430031,101.92509762128013,94.95444936527124,109.40746425840545,104.09616440503517,110.60936478430031,101.92509761128014
2025-04-17,100.87309236460987,110.69024695216552,100.87309237460983,93.85230880580308,108.41907774768993,103.32738101199877,110.69024695216552,100.87309236460987
2025-04-18,100.356250791706,110.77112912003074,100.35625080170601,93.25228694094243,108.00139498298006,102.95997037428718,110.77112912003074,100.356250791706
2025-04-21,99.16440753360925,110.85201128789598,99.16440754360924,92.02923322603546,106.8527833902789,102.08630847268093,110.85201128789598,99.16440753360925
2025-04-22,98.12971213544712,110.93289345576119,98.12971214544713,90.95664594688743,105.86846409630431,101.33050746602564,110.93289345576119,98.12971213544712
2025-04-23,97.04212018682881,111.0137756236264,97.04212019682883,89.8393700438039,104.82234111508292,100.53503404652821,111.0137756236264,97.04212018682881
2025-04-24,95.9727426299543,111.09465779149164,95.97274263995428,88.74318594304172,103.7912627539276,99.75322142083863,111.09465779149164,95.9727426299543
2025-04-25,94.96053824310621,111.17553995935685,94.9605382531062,87.70387398270616,102.81762270954825,99.01428867266887,111.17553995935685,94.96053824310621
2025-04-28,93.96474739424018,111.25642212722207,93.96474740424016,86.68351782941251,101.85758464623329,98.28766607798565,111.25642212722207,93.96474739424018
2025-04-29,93.06391712093412,111.3373042950873,93.0639171309341,85.75432318067269,100.9965719571484,97.6322639149724,111.3373042950873,93.06391712093412
2025-04-30,92.33452655703694,111.41818646295252,92.33452656703695,84.98627506959087,100.3181371271729,97.10544153401582,111.41818646295252,92.33452655703694
2025-05-01,91.50799246230798,111.49906863081773,91.50799247230795,84.13181278687527,99.53087196069886,96.5057615049354,111.49906863081773,91.50799246230798
2025-05-02,90.76246524359708,111.57995079868297,90.76246525359706,83.35475396947125,98.82849755549064,95.96683663286854,111.57995079868297,90.76246524359708
2025-05-05,90.02725357093583,111.66083296654818,90.02725358093579,82.58991940620768,98.1343297777444,95.43564842033891,111.66083296654818,90.02725357093583
2025-05-06,88.9849190703507,111.7417151344134,88.98491908035069,81.54629860977708,97.10208751016425,94.67411808686637,111.7417151344134,88.9849190703507
2025-05-07,88.04924390546392,111.82259730227864,88.04924391546392,80.6035029560691,96.1827844915159,93.99258225516759,111.82259730227864,88.04924390546392
